# Ghidra 11.4.1 - suspicious path/registry/network strings in KG.exe
# Total suspicious: 507
# Total decompiled funcs: 6

[01ac634c] (16 bytes) AddDllDirectory
[01acad44] (24 bytes) WS2_32.DLL
[01acad5c] (32 bytes) failed to load WS2_32.DLL (%u)
[01acc8e4] (16 bytes) No buffer space
[01ace3b8] (8 bytes) space
[01acebac] (28 bytes) ACE-SSC-DRV64
[01acebcc] (36 bytes) ACE-SSC-DRV64.sys
[01ad47a4] (12 bytes) space
[01ad4ad4] (20 bytes) psapi.dll
[01ad4e34] (24 bytes) shell32.dll
[01ad5b34] (20 bytes) \drivers\
[01ad5b5c] (24 bytes) \systemroot
[01ad5b84] (20 bytes) system32
[01ad634c] (60 bytes) SeSystemEnvironmentPrivilege
[01ad6daa] (22 bytes) lntdll.dll
[01ad9f9a] (26 bytes) l\SystemRoot
[01ad9fb8] (8 bytes) .data
[01ada62c] (24 bytes) nvapi_pepQueryInterface
[01ada644] (24 bytes) nvapi_QueryInterface
[01ada65c] (32 bytes) nvpowerapi.dll
[01ada694] (24 bytes) nvldumd.dll
[01ada74c] (28 bytes) cryptbase.dll
[01ada76c] (28 bytes) cryptnet.dll
[01ada7c4] (24 bytes) Shell32.dll
[01ada814] (28 bytes) Advapi32.dll
[01ada864] (20 bytes) gdi32.dll
[01ada8dc] (92 bytes) SOFTWARE\Microsoft\Windows NT\CurrentVersion
[01ada95c] (36 bytes) SetupDiGetDeviceInterfaceDetailW
[01ada9dc] (28 bytes) Setupapi.dll
[01adaa6c] (80 bytes) SYSTEM\CurrentControlSet\Control\Class\
[01adab1c] (64 bytes) SOFTWARE\Khronos\OpenCL\Vendors
[01adab5c] (64 bytes) SOFTWARE\Khronos\Vulkan\Drivers
[01adacbc] (44 bytes) \SystemRoot\system32\
[01adacec] (20 bytes) system32\
[01adb02c] (72 bytes) regex_error(error_brace): The expression contained mismatched { and }.
[01adb07c] (92 bytes) regex_error(error_badbrace): The expression contained an invalid range in a {} expression.
[01adb14c] (112 bytes) regex_error(error_space): There was insufficient memory to convert the expression into a finite state machine.
[01adbe44] (16 bytes) no buffer space
[01adbecc] (20 bytes) no space on device
[01adc08c] (24 bytes) read only file system
[01adc144] (32 bytes) too many files open in system
[01adee2c] (44 bytes) !x-sys-default-locale
[01adef04] (32 bytes) GetSystemTimePreciseAsFileTime
[01adfcdc] (28 bytes) `virtual displacement map'
[01adfe0c] (28 bytes) `placement delete closure'
[01adfe2c] (32 bytes) `placement delete[] closure'
[01ae00ac] (24 bytes) `anonymous namespace'
[01ae1684] (20 bytes) Not enough space
[01ae173c] (32 bytes) Too many open files in system
[01ae17ac] (24 bytes) No space left on device
[01ae17d4] (24 bytes) Read-only file system
[01ae2244] (24 bytes) mscoree.dll
[01ae2ebc] (64 bytes) api-ms-win-core-sysinfo-l1-2-1
[01ae2fcc] (88 bytes) api-ms-win-security-systemfunctions-l1-1-0
[01ae31ac] (20 bytes) EnumSystemLocalesEx
[01ae9a9c] (20 bytes) ACE-BOOT
[01aed014] (8 bytes) system
[01aefb9c] (112 bytes) C:\data\landun\workspace\CommonComponent\ACE-SSC\1.compile_source\SOURCE\AceSsc\build64\Release\ACE-SSC64.pdb
[01aeff98] (8 bytes) .data
[01b0f978] (14 bytes) ACE-SSC64.dll
[01b1089c] (13 bytes) WTSAPI32.dll
[01b10a1a] (14 bytes) GetSystemInfo
[01b10a70] (21 bytes) FileTimeToSystemTime
[01b10c18] (14 bytes) GetSystemTime
[01b10c28] (20 bytes) GetSystemDirectoryW
[01b10cec] (21 bytes) SystemTimeToFileTime
[01b10f34] (20 bytes) GetNativeSystemInfo
[01b11038] (24 bytes) GetSystemFirmwareTable
[01b110e4] (20 bytes) GetSystemDirectoryA
[01b1120e] (20 bytes) GetDiskFreeSpaceExA
[01b11298] (13 bytes) KERNEL32.dll
[01b114aa] (11 bytes) USER32.dll
[01b114ca] (12 bytes) SHELL32.dll
[01b1157e] (10 bytes) ole32.dll
[01b11588] (13 bytes) OLEAUT32.dll
[01b11742] (12 bytes) StartTraceW
[01b11750] (14 bytes) ControlTraceW
[01b11760] (16 bytes) EnableTraceEx2
[01b11772] (11 bytes) OpenTraceW
[01b11780] (13 bytes) ProcessTrace
[01b11790] (12 bytes) CloseTrace
[01b11852] (14 bytes) ADVAPI32.dll
[01b118dc] (12 bytes) SHLWAPI.dll
[01b119b6] (14 bytes) WINTRUST.dll
[01b11ab0] (28 bytes) SetupDiEnumDeviceInterfaces
[01b11ace] (34 bytes) SetupDiGetDeviceInterfaceDetailW
[01b11b08] (13 bytes) SETUPAPI.dll
[01b11bc8] (13 bytes) IPHLPAPI.DLL
[01b11dd2] (12 bytes) VERSION.dll
[01b11e36] (11 bytes) WS2_32.dll
[01b11e42] (12 bytes) WLDAP32.dll
[01b11f22] (12 bytes) WINHTTP.dll
[01b11fde] (12 bytes) CRYPT32.dll
[01b12102] (24 bytes) GetSystemTimeAsFileTime
[01b122d8] (32 bytes) SystemTimeToTzSpecificLocalTime
[01b1245a] (19 bytes) EnumSystemLocalesW
[01b12592] (27 bytes) GetSystemWindowsDirectoryW
[01b1f654] (24 bytes) .?AVsystem_error@std@@
[01b1f67c] (24 bytes) .?AV_System_error@std@@
[01b20dbc] (24 bytes) .?AV_Facet_base@std@@
[01b20de4] (24 bytes) .?AVfacet@locale@std@@
[01b2133c] (36 bytes) .?AV_System_error_category@std@@
[01b368dc] (40 bytes) ACE-SSC Client DLL
[01b36960] (24 bytes) ACE-SSC.DLL
[01b369a0] (24 bytes) ACE-SSC.DLL
[0201c980] (4 bytes) 004cace3
[0229e0c7] (29 bytes) Kernel32.dll
[0229e0f7] (29 bytes) kernel32.dll
[0229e14f] (13 bytes) kernel32.dll
[0229e16f] (42 bytes) config\TenMacode.dat
[0229fb27] (29 bytes) net interface init failed.
[022a055d] (26 bytes) ltersafe.dll
[022a0577] (13 bytes) DllEntry20
[022a0587] (9 bytes) DllEntry
[022a13ff] (9 bytes) Replaced
[022a148f] (137 bytes) # Netscape HTTP Cookie File
# https://curl.haxx.se/docs/http-cookies.html
# This file was generated by libcurl! Edit at your own risk.


[022a2547] (32 bytes) Couldn't bind to interface '%s'
[022a2567] (53 bytes) Local Interface %s is ip %s using address family %i

[022a28a7] (29 bytes) iphlpapi.dll
[022a28ef] (16 bytes) AddDllDirectory
[022a72e7] (22 bytes) WS2_32.DLL
[022a72ff] (31 bytes) failed to load WS2_32.DLL (%u)
[022a8e87] (16 bytes) No buffer space
[022aa95b] (6 bytes) space
[022ab14f] (29 bytes) ACE-SSC-DRV64
[022ab16f] (37 bytes) ACE-SSC-DRV64.sys
[022b0d47] (12 bytes) space
[022b1077] (21 bytes) psapi.dll
[022b13d7] (24 bytes) shell32.dll
[022b20d7] (21 bytes) \drivers\
[022b20ff] (24 bytes) \systemroot
[022b2127] (21 bytes) system32
[022b28ef] (61 bytes) SeSystemEnvironmentPrivilege
[022b334d] (23 bytes) lntdll.dll
[022b653d] (26 bytes) l\SystemRoot
[022b655b] (6 bytes) .data
[022b6bcf] (24 bytes) nvapi_pepQueryInterface
[022b6be7] (21 bytes) nvapi_QueryInterface
[022b6bff] (30 bytes) nvpowerapi.dll
[022b6c37] (24 bytes) nvldumd.dll
[022b6cef] (29 bytes) cryptbase.dll
[022b6d0f] (29 bytes) cryptnet.dll
[022b6d67] (24 bytes) Shell32.dll
[022b6db7] (29 bytes) Advapi32.dll
[022b6e07] (21 bytes) gdi32.dll
[022b6e7f] (93 bytes) SOFTWARE\Microsoft\Windows NT\CurrentVersion
[022b6eff] (33 bytes) SetupDiGetDeviceInterfaceDetailW
[022b6f7f] (29 bytes) Setupapi.dll
[022b700f] (80 bytes) SYSTEM\CurrentControlSet\Control\Class\
[022b70bf] (64 bytes) SOFTWARE\Khronos\OpenCL\Vendors
[022b70ff] (64 bytes) SOFTWARE\Khronos\Vulkan\Drivers
[022b725f] (45 bytes) \SystemRoot\system32\
[022b728f] (20 bytes) system32\
[022b75cf] (73 bytes) regex_error(error_brace): The expression contained mismatched { and }.
[022b761f] (93 bytes) regex_error(error_badbrace): The expression contained an invalid range in a {} expression.
[022b76ef] (111 bytes) regex_error(error_space): There was insufficient memory to convert the expression into a finite state machine.
[022b83e7] (16 bytes) no buffer space
[022b846f] (21 bytes) no space on device
[022b862f] (22 bytes) read only file system
[022b86e7] (30 bytes) too many files open in system
[022bb3cf] (45 bytes) !x-sys-default-locale
[022bb4a7] (31 bytes) GetSystemTimePreciseAsFileTime
[022bc27f] (29 bytes) `virtual displacement map'
[022bc3af] (29 bytes) `placement delete closure'
[022bc3cf] (29 bytes) `placement delete[] closure'
[022bc64f] (22 bytes) `anonymous namespace'
[022bdc27] (17 bytes) Not enough space
[022bdcdf] (30 bytes) Too many open files in system
[022bdd4f] (24 bytes) No space left on device
[022bdd77] (22 bytes) Read-only file system
[022be7e7] (24 bytes) mscoree.dll
[022bf45f] (62 bytes) api-ms-win-core-sysinfo-l1-2-1
[022bf56f] (89 bytes) api-ms-win-security-systemfunctions-l1-1-0
[022bf74f] (21 bytes) EnumSystemLocalesEx
[022c603f] (21 bytes) ACE-BOOT
[022c95b7] (7 bytes) system
[022cc13f] (113 bytes) C:\data\landun\workspace\CommonComponent\ACE-SSC\1.compile_source\SOURCE\AceSsc\build64\Release\ACE-SSC64.pdb
[022cc53b] (6 bytes) .data
[022ebf1b] (14 bytes) ACE-SSC64.dll
[022ece3f] (13 bytes) WTSAPI32.dll
[022ecfbd] (14 bytes) GetSystemInfo
[022ed013] (21 bytes) FileTimeToSystemTime
[022ed1bb] (14 bytes) GetSystemTime
[022ed1cb] (20 bytes) GetSystemDirectoryW
